Liked,Average Rating,Textbook,Pages Per Day,Year Published
0,2.27,0,9.090909090909092,2016.0
0,2.33,1,81.0,2015.0
0,2.88,0,4.945454545454545,2014.0
0,2.94,0,260.0,2014.0
0,3.18,0,84.0,2009.0
0,3.26,0,160.0,2017.0
0,3.14,1,16.0,2015.0
0,3.75,0,318.0,2008.0
0,2.54,0,8.470588235294118,2016.0
0,2.95,0,86.0,2016.0
0,2.67,1,5.755102040816326,2016.0
0,3.19,0,5.2368421052631575,2009.0
0,2.96,0,2.9461538461538463,1998.0
0,2.0,1,26.533333333333335,2016.0
0,3.59,0,9.15,2015.0
0,3.62,0,2.6451612903225805,2016.0
0,3.76,0,64.0,2014.0
0,3.71,0,120.0,2016.0
0,3.05,0,14.285714285714286,1989.0
0,3.93,0,3.5555555555555554,2013.0
0,3.88,0,25.363636363636363,2005.0
0,3.39,0,96.0,2015.0
0,3.5,0,246.0,2015.0
0,3.0,1,29.466666666666665,2015.0
0,3.13,0,8.615384615384615,2014.0
0,3.43,0,40.0,2015.0
0,3.66,0,14.166666666666666,2011.0
0,2.64,0,7.093023255813954,2014.0
0,3.93,0,77.0,1970.0
0,3.97,0,32.8,2015.0
0,3.06,0,13.571428571428571,2012.0
0,3.82,0,91.0,2014.0
0,3.16,0,274.0,2007.0
0,3.34,0,47.5,2017.0
0,3.57,1,5.932203389830509,2017.0
0,3.94,1,30.727272727272727,2016.0
0,3.83,1,208.0,2015.0
0,3.8,1,8.117647058823529,2016.0
0,3.91,0,3.542056074766355,2012.0
0,3.97,1,33.45454545454545,2016.0
0,3.65,0,16.0,2017.0
0,3.03,1,10.416666666666666,2016.0
0,3.77,0,18.823529411764707,2012.0
0,3.88,0,10.88,2016.0
0,3.16,0,8.458333333333334,2015.0
0,3.96,0,2.169811320754717,2009.0
0,3.08,0,1.7040816326530612,2009.0
0,3.08,1,12.333333333333334,2016.0
0,3.2,0,40.8,2009.0
0,3.96,0,7.675,2007.0
0,3.93,0,15.5,2010.0
0,3.99,1,256.0,2004.0
0,3.22,0,41.6,2015.0
0,3.79,0,61.0,2012.0
0,3.98,0,48.25,2014.0
0,3.02,0,72.0,2015.0
0,3.1,1,8.685714285714285,2015.0
0,3.72,0,13.142857142857142,2015.0
0,3.5,1,31.894736842105264,2015.0
0,3.78,0,9.846153846153847,2006.0
0,3.0,1,3.3076923076923075,2015.0
0,3.47,0,81.0,2015.0
0,3.77,1,21.263157894736842,2013.0
0,3.63,0,65.0,2014.0
0,3.92,1,25.384615384615383,2015.0
0,3.56,0,51.875,2014.0
0,3.04,0,44.0,2011.0
0,3.69,0,34.0,2013.0
0,3.23,0,74.0,2000.0
0,3.59,0,240.0,2014.0
0,3.31,0,386.0,2011.0
1,3.77,0,29.714285714285715,1998.0
1,3.78,0,21.666666666666668,2000.0
1,4.39,0,19.555555555555557,2017.0
1,4.32,0,18.285714285714285,2017.0
1,4.11,0,7.794871794871795,2017.0
1,4.2,0,14.06060606060606,2014.0
1,3.82,0,17.76923076923077,2017.0
1,4.52,0,520.0,2014.0
1,3.82,0,32.8,2007.0
1,3.93,0,102.0,2003.0
1,4.17,0,28.571428571428573,2006.0
1,3.86,0,25.076923076923077,2014.0
1,3.32,0,20.8,2016.0
1,3.8,1,88.0,2012.0
1,3.85,1,26.0,2014.0
1,3.62,0,24.142857142857142,2014.0
1,4.22,0,66.66666666666667,2009.0
1,3.92,0,29.46153846153846,2005.0
1,4.11,0,28.5,2013.0
1,4.17,0,123.66666666666667,2013.0
1,4.4,1,5.019607843137255,2015.0
1,3.92,1,33.5,2016.0
1,3.93,0,7.0606060606060606,2014.0
1,4.13,0,32.0,2016.0
1,3.92,0,4.597701149425287,2002.0
1,4.36,1,7.3768115942028984,2015.0
1,4.31,1,24.352941176470587,2015.0
1,4.15,0,7.111111111111111,2015.0
1,4.14,0,2.4788732394366195,2015.0
1,3.91,0,20.61111111111111,2015.0
1,4.3,0,13.777777777777779,2015.0
1,3.79,0,19.0,2015.0
1,3.83,0,11.310344827586206,2011.0
1,3.96,0,77.71428571428571,2012.0
1,4.11,0,144.0,2015.0
1,3.83,0,72.0,2014.0
1,3.9,0,26.1,2014.0
1,3.69,0,76.0,2009.0
1,3.38,0,77.66666666666667,2010.0
1,3.64,1,132.0,2015.0
1,4.01,0,52.2,2015.0
1,3.75,0,57.6,2012.0
1,3.99,0,64.75,2013.0
1,4.14,0,16.692307692307693,2010.0
1,3.73,0,16.05,2004.0
1,3.85,0,17.166666666666668,2010.0
1,4.02,0,7.5,2016.0
1,4.82,1,14.705882352941176,2016.0
1,3.61,0,40.8,2016.0
1,4.0,0,4.380952380952381,2016.0
1,4.07,0,27.285714285714285,2006.0
1,3.85,0,272.0,2004.0
1,3.96,0,31.88888888888889,2015.0
1,4.16,0,10.823529411764707,2016.0
1,4.7,1,5.47191011235955,2015.0
1,3.86,1,21.823529411764707,2012.0
1,3.97,0,6.928571428571429,2009.0
1,4.06,0,90.66666666666667,2014.0
1,4.21,0,148.0,2015.0
1,3.71,0,10.666666666666666,2015.0
1,3.96,0,35.875,2012.0
1,4.13,0,7.081967213114754,2015.0
1,3.85,0,3.74025974025974,2015.0
1,4.27,1,12.137931034482758,2013.0
1,3.83,0,41.5,2012.0
1,4.08,1,38.333333333333336,2014.0
1,3.81,0,118.0,2015.0
1,4.06,1,37.5,2012.0
1,3.87,0,13.526315789473685,2014.0
1,3.77,0,240.0,2013.0
