year,age,partner,partner_age
1999,24,Gisele Bundchen,18
2000,25,Gisele Bundchen,19
2001,26,Gisele Bundchen,20
2002,27,Gisele Bundchen,21
2003,28,Gisele Bundchen,22
2004,29,Gisele Bundchen,23
2005,30,Bar Refaeli,20
2006,31,Bar Refaeli,21
2007,32,Bar Refaeli,22
2008,33,Bar Refaeli,23
2009,34,Bar Refaeli,24
2010,35,Bar Refaeli,25
2011,36,Blake Lively,23
2012,37,Erin Heatherton,22
2013,38,Toni Garrn,20
2014,39,Toni Garrn,21
2015,40,Kelly Rohrbach,25
2016,41,Nina Agdal,24
2017,42,Nina Agdal,25
2018,43,Camila Morrone,20
2019,44,Camila Morrone,21
